old_safe_address,affected,pre_hack_balance_usd
0x0000813c092ce210e6a5a18cda5df5502f00d740,TRUE,149.03
0x00022f5430a303f83eebc26aa7d7ec057e91a13c,TRUE,9.03
0x00027c875da6b4e7a80bc39b4b60db6137a53291,TRUE,279.43
0x0002ce9368cf0ae2de37b6da82a2f5ed69878bf4,TRUE,0.65
0x000468a4a71622d53319c530a980fa03cc54f25b,TRUE,0.02
0x00094755722a7239f7523c00935937a9b5585cf4,TRUE,16.12
0x000d47345441592ffc66581c9be9751b736d1ccd,TRUE,0
0x000d9f59be33fdf52bdaa3244ee841d1a2c4c585,TRUE,4.09
0x000deac36417aca11293fdf8d393ebf6b484995e,TRUE,0.12
0x001453e64e7c31996f4fba5b31561220f637ca5d,TRUE,2.32
0x001747928357ce0110605a771b5c13cfdf28d58d,TRUE,3.75
0x001e16e646f4880b061634ad6b7b48ee62281d2a,TRUE,2.55
0x001f3f0360ed59e4634f9e37ea1dca4e5d74829e,TRUE,0.79
0x001fbc754baac4057214c98f8d96d15b2a11f7cb,TRUE,12.21
0x0022e58eaf63dbb75c8caeeb831e1d2bb7ca1e42,TRUE,600
0x00236be8fd3d3a2266c901d20c2d903ab0f8fa8e,TRUE,13.45
0x00269faf104b2ad778d77c7e34dc10958b8f1007,TRUE,0.18
0x0026c7b409cc39aed1585d192cb22a8c834724ae,TRUE,0
0x00276d22cfb4ba27c819eb9b9031e19384422f1b,TRUE,0.11
0x002891e237d658f0b50ba86b8895d6764a8f8d98,TRUE,14.5
0x0028fd826e72071110ea99a6c509892969a01ead,TRUE,0.01
0x002d2bacc681d3dd841cfc31bef3e22fd3ebf9ce,TRUE,0.01
0x00314c0eb3a2d488fdb073a69315f4da696bcf92,TRUE,293.04
0x003354a08cbf7c7f3244832c6c4e583006660991,TRUE,0.12
0x00351d1ced9fb5ddf9b55e9571436ab4726d4ab0,TRUE,0.95
0x0039b1e5dbf65e37c038cd1e525e6f909ad624ab,TRUE,4505.97
0x003a98ca477d36a7dc55ada3865a73a0b5d89710,TRUE,0.1
0x0041aeb9af4e22e5a6f32b4cb9d087e601b3d50d,TRUE,18.68
0x0045188a1aea5cb620edeb3452bf1bef5b712f22,TRUE,47.17
0x00451f8d6945e2736f7e1f8d76998be795562d08,TRUE,0.13
0x004fe297bda86ab577c0d2c91a652b9cc2206ee2,TRUE,775.7
0x0052b2ec93f3a8ed703a60165b38f10c12abd4d5,TRUE,2.61
0x00562e5a24a35639a40bf977ae3fc899b7b4fa73,TRUE,0.36
0x00591f785c47eb2829302ed42a137da3cd4497b1,TRUE,0
0x005e4904e6448d0fd4fdfe98a12c4c934235c3ac,TRUE,11.72
0x006188e3273c088fccf6f017b4b032ed09c66a9b,TRUE,1.58
0x0066483eb25eec3b73563b05a4f55830e9fe3ffc,TRUE,505.24
0x006aaa641858d16a648996c3e61259a6324f7df4,TRUE,0.07
0x006ba47d67915d796ec87287f64b72265295b35f,TRUE,1737.79
0x006bd4fbef33ae4a02f9f9883fbe7de6625fd900,TRUE,0.07
0x007c1dabdc61f90060ec92cbfa2daa553e7ed4c1,TRUE,0
0x007c810c7c68c7ba4f6bfed19e5ba87a85c8d402,TRUE,143.19
0x007e03c21e203e9bfafc57affc020508c37a2d55,TRUE,15.43
0x0081b9adbc29da01333521e9c068ea0aa88837bd,TRUE,27.88
0x008390959255b4b66f25fadfddd2882a0f4d62c4,TRUE,252.56
0x008470cba3a7ff7bf4d75ec0f28dc274c3c36ee5,TRUE,3.06
0x008916c37aa59503238d09280b5c3122ed5d9cc1,TRUE,179.36
0x008fb7c0837f3413d8b84ef1f8e9f2cbbfd15977,TRUE,45.41
